,idx,lat,lon,location_type,types
5630,112049,40.7425953,-73.82543849999999,GEOMETRIC_CENTER,['intersection']
5631,112051,40.8296762,-73.9310651,GEOMETRIC_CENTER,['intersection']
5632,112087,40.8636501,-73.9062558,ROOFTOP,['street_address']
5633,112132,40.7348005,-73.9907326,GEOMETRIC_CENTER,['intersection']
5634,112135,40.8558959,-73.8749124,GEOMETRIC_CENTER,['intersection']
5635,112168,40.8332646,-73.8603522,GEOMETRIC_CENTER,['intersection']
5636,112180,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5637,112234,40.7014482,-73.9847589,GEOMETRIC_CENTER,['intersection']
5638,112262,40.7163444,-73.80309919999999,GEOMETRIC_CENTER,['intersection']
5639,112279,40.7590331,-73.78416469999999,GEOMETRIC_CENTER,['intersection']
5640,112322,40.5960772,-74.141808,GEOMETRIC_CENTER,['intersection']
5641,112325,40.7617408,-73.8682614,GEOMETRIC_CENTER,['intersection']
5642,112372,40.6668863,-73.9949048,GEOMETRIC_CENTER,['intersection']
5643,112379,40.7159875,-73.8078355,GEOMETRIC_CENTER,['intersection']
5644,112391,40.5883981,-73.8178695,GEOMETRIC_CENTER,['intersection']
5645,112486,40.8352716,-73.9438797,GEOMETRIC_CENTER,['intersection']
5646,112496,40.7491122,-73.98406740000001,GEOMETRIC_CENTER,['intersection']
5647,112558,40.7661227,-73.789693,GEOMETRIC_CENTER,['intersection']
5648,112563,40.7817409,-73.8256707,GEOMETRIC_CENTER,['intersection']
5649,112569,40.7460402,-73.9767864,GEOMETRIC_CENTER,['intersection']
5650,112578,40.6744207,-73.8020884,GEOMETRIC_CENTER,['intersection']
5651,112663,40.6258612,-74.1557538,GEOMETRIC_CENTER,['intersection']
5652,112692,40.6923349,-73.8826127,GEOMETRIC_CENTER,['intersection']
5653,112702,40.8807245,-73.8251811,ROOFTOP,['premise']
5654,112727,40.722653,-73.77756409999999,GEOMETRIC_CENTER,['intersection']
5655,112731,40.8754534,-73.9029693,ROOFTOP,['premise']
5656,112793,40.7026607,-73.81754029999999,GEOMETRIC_CENTER,['intersection']
5657,112798,40.8801025,-73.838087,GEOMETRIC_CENTER,['route']
5658,112860,40.7817409,-73.8256707,GEOMETRIC_CENTER,['intersection']
5659,112863,40.7641748,-73.9847444,GEOMETRIC_CENTER,['route']
5660,112870,40.7237794,-73.9375967,GEOMETRIC_CENTER,['intersection']
5661,112914,40.8533134,-73.82665109999999,GEOMETRIC_CENTER,['intersection']
5662,112916,40.71876049999999,-73.97512859999999,GEOMETRIC_CENTER,['intersection']
